,AAPL,MSFT
2022-03-17 00:00:00+00:00,151.05101512039354,256.6062055452015
2022-03-18 00:00:00+00:00,150.7985183850206,256.26299424948604
2022-03-19 00:00:00+00:00,150.5476612362313,255.92299741505644
2022-03-20 00:00:00+00:00,150.29844313902225,255.58619541421768
2022-03-21 00:00:00+00:00,150.05086336800014,255.2525686022085
2022-03-22 00:00:00+00:00,149.80492101109746,254.92209731993066
2022-03-23 00:00:00+00:00,149.56061497324032,254.5947618966277
2022-03-24 00:00:00+00:00,149.31794397996856,254.27054265251448
2022-03-25 00:00:00+00:00,149.07690658100913,253.9494199013575
2022-03-26 00:00:00+00:00,148.83750115380275,253.63137395300666
2022-03-27 00:00:00+00:00,148.59972590698456,253.31638511587968
2022-03-28 00:00:00+00:00,148.36357888381906,253.00443369939927
2022-03-29 00:00:00+00:00,148.12905796558996,252.6955000163832
2022-03-30 00:00:00+00:00,147.896160874945,252.38956438538955
2022-03-31 00:00:00+00:00,147.66488517919677,252.08660713301526
2022-04-01 00:00:00+00:00,147.43522829357963,251.78660859615098
2022-04-02 00:00:00+00:00,147.2071874844629,251.4895491241911
2022-04-03 00:00:00+00:00,146.9807598725215,251.1954090812004
2022-04-04 00:00:00+00:00,146.75594243586352,250.90416884803747
2022-04-05 00:00:00+00:00,146.5327320131163,250.61580882443582
2022-04-06 00:00:00+00:00,146.31112530646993,250.33030943104288
2022-04-07 00:00:00+00:00,146.09111888468038,250.04765111141768
2022-04-08 00:00:00+00:00,145.87270918603113,249.76781433398753
2022-04-09 00:00:00+00:00,145.6558925212545,249.49077959396465
2022-04-10 00:00:00+00:00,145.44066507641298,249.2165274152227
2022-04-11 00:00:00+00:00,145.2270229157411,248.9450383521343
2022-04-12 00:00:00+00:00,145.0149619844477,248.67629299136976
2022-04-13 00:00:00+00:00,144.8044781114796,248.4102719536573
2022-04-14 00:00:00+00:00,144.595567012247,248.14695589550615
2022-04-15 00:00:00+00:00,144.3882242913104,247.88632551089194
2022-04-16 00:00:00+00:00,144.18244544503042,247.62836153290556
2022-04-17 00:00:00+00:00,143.9782258641801,247.37304473536585
2022-04-18 00:00:00+00:00,143.77556083652033,247.12035593439666
2022-04-19 00:00:00+00:00,143.5744455493388,246.8702759899685
2022-04-20 00:00:00+00:00,143.37487509195333,246.62278580740556
2022-04-21 00:00:00+00:00,143.17684445817875,246.37786633885855
2022-04-22 00:00:00+00:00,142.98034854875908,246.13549858474357
2022-04-23 00:00:00+00:00,142.78538217376462,245.89566359514782
2022-04-24 00:00:00+00:00,142.59194005495408,245.65834247120242
2022-04-25 00:00:00+00:00,142.4000168281033,245.42351636642266
2022-04-26 00:00:00+00:00,142.20960704529935,245.19116648801668
2022-04-27 00:00:00+00:00,142.02070517720156,244.96127409816225
2022-04-28 00:00:00+00:00,141.8333056152695,244.73382051525272
2022-04-29 00:00:00+00:00,141.64740267395783,244.5087871151123
2022-04-30 00:00:00+00:00,141.46299059287938,244.28615533218127
2022-05-01 00:00:00+00:00,141.2800635389355,244.06590666067112
2022-05-02 00:00:00+00:00,141.0986156084153,243.84802265569087
2022-05-03 00:00:00+00:00,140.91864082906298,243.63248493434386
2022-05-04 00:00:00+00:00,140.7401331621148,243.4192751767968
2022-05-05 00:00:00+00:00,140.5630865043049,243.20837512731993
2022-05-06 00:00:00+00:00,140.38749468984093,242.99976659530026
2022-05-07 00:00:00+00:00,140.21335149234974,242.79343145622693
2022-05-08 00:00:00+00:00,140.04065062679356,242.58935165265024
2022-05-09 00:00:00+00:00,139.86938575135648,242.38750919511375
2022-05-10 00:00:00+00:00,139.6995504693022,242.18788616306057
2022-05-11 00:00:00+00:00,139.53113833080332,241.99046470571395
2022-05-12 00:00:00+00:00,139.36414283474167,241.79522704293234
2022-05-13 00:00:00+00:00,139.19855743048126,241.60215546603985
