,AAPL,MSFT
2022-03-17 00:00:00+00:00,151.05101231488104,256.6062050797647
2022-03-18 00:00:00+00:00,150.7985160702227,256.26299415732274
2022-03-19 00:00:00+00:00,150.54765940492086,255.92299768994448
2022-03-20 00:00:00+00:00,150.2984417840382,255.5861960500074
2022-03-21 00:00:00+00:00,150.05086248224748,255.25256959282262
2022-03-22 00:00:00+00:00,149.804920587547,254.9220986593637
2022-03-23 00:00:00+00:00,149.56061500492854,254.59476357894562
2022-03-24 00:00:00+00:00,149.31794445999745,254.27054467185414
2022-03-25 00:00:00+00:00,149.07690750254605,253.94942225192605
2022-03-26 00:00:00+00:00,148.8375025100802,253.63137662908136
2022-03-27 00:00:00+00:00,148.5997276913001,253.31638811180719
2022-03-28 00:00:00+00:00,148.363581089535,253.0044370095952
2022-03-29 00:00:00+00:00,148.1290605861331,252.6955036353318
2022-03-30 00:00:00+00:00,147.89616390380655,252.389568307643
2022-03-31 00:00:00+00:00,147.6648886099322,252.08661135319338
2022-04-01 00:00:00+00:00,147.43523211980818,251.78661310894068
2022-04-02 00:00:00+00:00,147.20719169986765,251.48955392434587
2022-04-03 00:00:00+00:00,146.9807644708489,251.19541416353974
2022-04-04 00:00:00+00:00,146.75594741092337,250.90417420744654
2022-04-05 00:00:00+00:00,146.53273735878122,250.61581445586498
2022-04-06 00:00:00+00:00,146.3111310166754,250.33031532950707
2022-04-07 00:00:00+00:00,146.09112495342433,250.04765727199592
2022-04-08 00:00:00+00:00,145.8727156073736,249.7678207518225
2022-04-09 00:00:00+00:00,145.65589928931755,249.4907862642622
2022-04-10 00:00:00+00:00,145.44067218538032,249.21653433325127
2022-04-11 00:00:00+00:00,145.22703035985785,248.94504551322458
2022-04-12 00:00:00+00:00,145.01496975802,248.67630039091398
2022-04-13 00:00:00+00:00,144.80448620887447,248.4102795871089
2022-04-14 00:00:00+00:00,144.59557542789193,248.14696375837923
2022-04-15 00:00:00+00:00,144.38823301969313,247.88633359876067
2022-04-16 00:00:00+00:00,144.18245448069862,247.62836984140384
2022-04-17 00:00:00+00:00,143.97823520174106,247.37305326018674
2022-04-18 00:00:00+00:00,143.77557047064053,247.12036467129184
2022-04-19 00:00:00+00:00,143.57445547474384,246.87028493474776
2022-04-20 00:00:00+00:00,143.37488530342745,246.6227949559364
2022-04-21 00:00:00+00:00,143.1768549505645,246.37787568706563
2022-04-22 00:00:00+00:00,142.98035931695716,246.13550812860817
2022-04-23 00:00:00+00:00,142.78539321273325,245.89567333070735
2022-04-24 00:00:00+00:00,142.59195135970904,245.65835239454998
2022-04-25 00:00:00+00:00,142.40002839371732,245.42352647370654
2022-04-26 00:00:00+00:00,142.20961886690185,245.1911767754398
2022-04-27 00:00:00+00:00,142.02071724997836,244.96128456198167
2022-04-28 00:00:00+00:00,141.8333179344624,244.73383115177924
2022-04-29 00:00:00+00:00,141.6474152348644,244.5087979207098
2022-04-30 00:00:00+00:00,141.4630033908525,244.2861663032664
2022-05-01 00:00:00+00:00,141.280076569383,244.06591779371269
2022-05-02 00:00:00+00:00,141.09862886679966,243.84803394720936
2022-05-03 00:00:00+00:00,140.91865431090096,243.632496380911
2022-05-04 00:00:00+00:00,140.74014686297718,243.41928677503498
2022-05-05 00:00:00+00:00,140.56310041981592,243.20838687390184
2022-05-06 00:00:00+00:00,140.38750881567807,242.99977848694826
2022-05-07 00:00:00+00:00,140.21336582424343,242.79344348971276
2022-05-08 00:00:00+00:00,140.04066516052663,242.58936382479428
2022-05-09 00:00:00+00:00,139.8694004827639,242.38752150278475
2022-05-10 00:00:00+00:00,139.69956539427085,242.1878986031751
2022-05-11 00:00:00+00:00,139.53115344527131,241.9904772752359
2022-05-12 00:00:00+00:00,139.36415813469822,241.79523973887243
2022-05-13 00:00:00+00:00,139.19857291196624,241.6021682854552
2022-05-14 00:00:00+00:00,139.03439117871673,241.41124527862547
2022-05-15 00:00:00+00:00,138.8716062905352,241.2224531550768
2022-05-16 00:00:00+00:00,138.7102115586419,241.03577442531275
2022-05-17 00:00:00+00:00,138.55020025155554,240.85119167438114
2022-05-18 00:00:00+00:00,138.3915655967304,240.66868756258523
2022-05-19 00:00:00+00:00,138.23430078216762,240.48824482617192
2022-05-20 00:00:00+00:00,138.07839895800018,240.30984627799774
2022-05-21 00:00:00+00:00,137.9238532380526,240.1334748081729
2022-05-22 00:00:00+00:00,137.77065670137557,239.9591133846833
2022-05-23 00:00:00+00:00,137.61880239375498,239.78674505399135
2022-05-24 00:00:00+00:00,137.46828332919688,239.6163529416158
2022-05-25 00:00:00+00:00,137.3190924913877,239.44792025269058
2022-05-26 00:00:00+00:00,137.1712228351306,239.28143027250368
2022-05-27 00:00:00+00:00,137.02466728775772,239.11686636701552
2022-05-28 00:00:00+00:00,136.8794187505191,238.95421198335774
2022-05-29 00:00:00+00:00,136.7354700999482,238.7934506503127
2022-05-30 00:00:00+00:00,136.59281418920463,238.63456597877376
2022-05-31 00:00:00+00:00,136.45144384939388,238.4775416621865
2022-06-01 00:00:00+00:00,136.31135189086484,238.32236147697188
2022-06-02 00:00:00+00:00,136.172531104485,238.16900928293072
2022-06-03 00:00:00+00:00,136.03497426289388,238.01746902363072
2022-06-04 00:00:00+00:00,135.89867412173462,237.8677247267755
2022-06-05 00:00:00+00:00,135.76362342086446,237.7197605045565
2022-06-06 00:00:00+00:00,135.62981488554368,237.5735605539878
2022-06-07 00:00:00+00:00,135.49724122760423,237.42910915722396
2022-06-08 00:00:00+00:00,135.3658951465972,237.28639068186206
2022-06-09 00:00:00+00:00,135.23576933092033,237.14538958122657
2022-06-10 00:00:00+00:00,135.10685645892505,237.006090394639
2022-06-11 00:00:00+00:00,134.9791492000042,236.8684777476718
2022-06-12 00:00:00+00:00,134.8526402156594,236.73253635238657
2022-06-13 00:00:00+00:00,134.72732216054973,236.59825100755742
2022-06-14 00:00:00+00:00,134.6031876835208,236.46560659887936
2022-06-15 00:00:00+00:00,134.48022942861513,236.33458809916198
2022-06-16 00:00:00+00:00,134.358440036064,236.20518056850918
2022-06-17 00:00:00+00:00,134.2378121432605,236.07736915448427
2022-06-18 00:00:00+00:00,134.11833838571476,235.9511390922615
2022-06-19 00:00:00+00:00,134.000011397991,235.82647570476402
2022-06-20 00:00:00+00:00,133.88282381462687,235.70336440278825
2022-06-21 00:00:00+00:00,133.76676827103543,235.58179068511555
2022-06-22 00:00:00+00:00,133.65183740438965,235.4617401386104
2022-06-23 00:00:00+00:00,133.53802385448986,235.3431984383065
2022-06-24 00:00:00+00:00,133.42532026461456,235.22615134747997
2022-06-25 00:00:00+00:00,133.31371928235433,235.11058471771082
2022-06-26 00:00:00+00:00,133.20321356042948,234.996484488932
2022-06-27 00:00:00+00:00,133.09379575749153,234.883836689467
2022-06-28 00:00:00+00:00,132.98545853890852,234.77262743605579
2022-06-29 00:00:00+00:00,132.8781945775347,234.6628429338695
2022-06-30 00:00:00+00:00,132.77199655446466,234.55446947651396
2022-07-01 00:00:00+00:00,132.6668571597719,234.4474934460223
2022-07-02 00:00:00+00:00,132.56276909323233,234.34190131283705
2022-07-03 00:00:00+00:00,132.45972506503298,234.23767963578163
2022-07-04 00:00:00+00:00,132.3577177964656,234.13481506202152
2022-07-05 00:00:00+00:00,132.25674002060597,234.03329432701537
2022-07-06 00:00:00+00:00,132.15678448297862,233.93310425445642
2022-07-07 00:00:00+00:00,132.05784394220757,233.83423175620405
2022-07-08 00:00:00+00:00,131.95991117065282,233.73666383220598
2022-07-09 00:00:00+00:00,131.86297895503336,233.6403875704108
2022-07-10 00:00:00+00:00,131.76704009703613,233.5453901466722
2022-07-11 00:00:00+00:00,131.67208741391207,233.45165882464315
2022-07-12 00:00:00+00:00,131.57811373905835,233.35918095566248
2022-07-13 00:00:00+00:00,131.485111922588,233.26794397863213
2022-07-14 00:00:00+00:00,131.39307483188642,233.1779354198862
2022-07-15 00:00:00+00:00,131.30199535215505,233.08914289305204
2022-07-16 00:00:00+00:00,131.2118663869429,233.00155409890294
2022-07-17 00:00:00+00:00,131.12268085866523,232.91515682520327
2022-07-18 00:00:00+00:00,131.03443170911058,232.8299389465457
2022-07-19 00:00:00+00:00,130.94711189993515,232.74588842418112
2022-07-20 00:00:00+00:00,130.86071441314579,232.6629933058409
2022-07-21 00:00:00+00:00,130.77523225157125,232.5812417255523
2022-07-22 00:00:00+00:00,130.69065843932162,232.50062190344642
2022-07-23 00:00:00+00:00,130.60698602223678,232.42112214555976
2022-07-24 00:00:00+00:00,130.52420806832342,232.34273084362866
2022-07-25 00:00:00+00:00,130.44231766818095,232.26543647487722
2022-07-26 00:00:00+00:00,130.36130793541693,232.18922760179913
2022-07-27 00:00:00+00:00,130.28117200705114,232.11409287193263
2022-07-28 00:00:00+00:00,130.20190304390985,232.0400210176301
2022-07-29 00:00:00+00:00,130.12349423100892,231.96700085582077
2022-07-30 00:00:00+00:00,130.04593877792712,231.8950212877686
2022-07-31 00:00:00+00:00,129.9692299191693,231.82407129882353
2022-08-01 00:00:00+00:00,129.89336091451926,231.75413995816763
2022-08-02 00:00:00+00:00,129.81832504938325,231.68521641855608
2022-08-03 00:00:00+00:00,129.7441156351234,231.61728991605221
2022-08-04 00:00:00+00:00,129.6707260093819,231.5503497697579
2022-08-05 00:00:00+00:00,129.59814953639568,231.4843853815388
2022-08-06 00:00:00+00:00,129.5263796073018,231.4193862357445
2022-08-07 00:00:00+00:00,129.45540964043377,231.3553418989243
2022-08-08 00:00:00+00:00,129.3852330816089,231.292242019538
2022-08-09 00:00:00+00:00,129.3158434044069,231.23007632766226
2022-08-10 00:00:00+00:00,129.24723411043962,231.1688346346927
