Date,AAPL,MSFT
2023-03-15 00:00:00+00:00,151.12861335790063,257.0789908471304
2023-03-16 00:00:00+00:00,151.09537622753484,256.89213833946036
2023-03-17 00:00:00+00:00,151.12787435641158,256.73677817096285
2023-03-20 00:00:00+00:00,150.96278841117578,256.62581054128395
2023-03-21 00:00:00+00:00,150.81401130843375,256.4883670953227
2023-03-22 00:00:00+00:00,150.67225300106068,256.3712629046932
2023-03-23 00:00:00+00:00,150.5546374723924,256.31277826180326
2023-03-24 00:00:00+00:00,150.4339049306251,256.24181371977676
2023-03-27 00:00:00+00:00,150.31504861605097,256.1728012573752
2023-03-28 00:00:00+00:00,150.198519455766,256.10300994454633
2023-03-29 00:00:00+00:00,150.0829111563972,256.03455662418605
2023-03-30 00:00:00+00:00,149.96858234229217,255.96688151216523
2023-03-31 00:00:00+00:00,149.8553904126428,255.89995239489465
2023-04-03 00:00:00+00:00,149.74358150971187,255.8342824058301
2023-04-04 00:00:00+00:00,149.63306103856792,255.76965348486746
2023-04-05 00:00:00+00:00,149.52382826866088,255.70609988530816
2023-04-06 00:00:00+00:00,149.41587440731274,255.64357488749724
2023-04-10 00:00:00+00:00,149.30918302365663,255.58207616334326
2023-04-11 00:00:00+00:00,149.2037427247915,255.5215890904654
2023-04-12 00:00:00+00:00,149.0995389868968,255.46209883843693
2023-04-13 00:00:00+00:00,148.99656064416718,255.4035957010655
2023-04-14 00:00:00+00:00,148.89479532385732,255.3460673488773
2023-04-17 00:00:00+00:00,148.79423107113843,255.28950258549602
2023-04-18 00:00:00+00:00,148.69485599164489,255.23388974763668
2023-04-19 00:00:00+00:00,148.59665827034524,255.17921749878596
2023-04-20 00:00:00+00:00,148.4996262166064,255.12547457041725
2023-04-21 00:00:00+00:00,148.40374821350218,255.07264978625182
2023-04-24 00:00:00+00:00,148.30901275957106,255.02073210527163
2023-04-25 00:00:00+00:00,148.21540844798798,254.9697105868666
2023-04-26 00:00:00+00:00,148.1229239723941,254.91957440694455
2023-04-27 00:00:00+00:00,148.03154812435616,254.87031284754264
2023-04-28 00:00:00+00:00,147.94126979277485,254.8219152997423
2023-05-01 00:00:00+00:00,147.8520779634252,254.77437126168874
2023-05-02 00:00:00+00:00,147.76396171789466,254.7276703376216
2023-05-03 00:00:00+00:00,147.6769102330739,254.68180223716848
2023-05-04 00:00:00+00:00,147.59091278035555,254.6367567742674
2023-05-05 00:00:00+00:00,147.5059587249567,254.592523866345
2023-05-08 00:00:00+00:00,147.42203752520433,254.54909353335745
2023-05-09 00:00:00+00:00,147.3391387318338,254.50645589690353
2023-05-10 00:00:00+00:00,147.2572519872938,254.46460117932318
2023-05-11 00:00:00+00:00,147.17636702505115,254.42351970280617
2023-05-12 00:00:00+00:00,147.09647366890275,254.38320188850983
2023-05-15 00:00:00+00:00,147.01756183229048,254.34363825568053
2023-05-16 00:00:00+00:00,146.93962151762076,254.3048194207843
2023-05-17 00:00:00+00:00,146.86264281558803,254.26673609664266
2023-05-18 00:00:00+00:00,146.78661590450255,254.22937909157574
2023-05-19 00:00:00+00:00,146.71153104962207,254.1927393085518
2023-05-22 00:00:00+00:00,146.63737860248813,254.1568077443431
2023-05-23 00:00:00+00:00,146.56414900026584,254.12157548868882
2023-05-24 00:00:00+00:00,146.49183276508847,254.0870337234637
2023-05-25 00:00:00+00:00,146.42042050340513,254.05317372185365
2023-05-26 00:00:00+00:00,146.3499029053336,254.01998684753764
2023-05-30 00:00:00+00:00,146.28027074401663,253.98746455387567
2023-05-31 00:00:00+00:00,146.2115148749819,253.95559838310342
2023-06-01 00:00:00+00:00,146.14362623550704,253.9243799655327
2023-06-02 00:00:00+00:00,146.07659584398763,253.8938010187586
2023-06-05 00:00:00+00:00,146.01041479930979,253.86385334687265
2023-06-06 00:00:00+00:00,145.94507428022632,253.83452883968184
2023-06-07 00:00:00+00:00,145.88056554473735,253.80581947193406
2023-06-08 00:00:00+00:00,145.81687992947434,253.77771730254946
2023-06-09 00:00:00+00:00,145.75400884908825,253.75021447385808
2023-06-12 00:00:00+00:00,145.69194379564178,253.72330321084303
2023-06-13 00:00:00+00:00,145.63067633800512,253.69697582038987
2023-06-14 00:00:00+00:00,145.57019812125603,253.67122469054203
2023-06-15 00:00:00+00:00,145.5105008660832,253.6460422897618
2023-06-16 00:00:00+00:00,145.45157636819408,253.62142116619728
2023-06-20 00:00:00+00:00,145.39341649772618,253.59735394695522
2023-06-21 00:00:00+00:00,145.336013198662,253.57383333737937
2023-06-22 00:00:00+00:00,145.2793584882483,253.5508521203349
2023-06-23 00:00:00+00:00,145.22344445641846,253.5284031554981
2023-06-26 00:00:00+00:00,145.1682632652194,253.50647937865205
2023-06-27 00:00:00+00:00,145.11380714824145,253.48507380098764
2023-06-28 00:00:00+00:00,145.0600684100524,253.46417950841035
2023-06-29 00:00:00+00:00,145.00703942563527,253.4437896608526
2023-06-30 00:00:00+00:00,144.95471263982944,253.42389749159113
2023-07-03 00:00:00+00:00,144.90308056677594,253.4044963065704
2023-07-05 00:00:00+00:00,144.85213578936586,253.38557948373145
2023-07-06 00:00:00+00:00,144.80187095869297,253.36714047234528
2023-07-07 00:00:00+00:00,144.7522787935094,253.34917279235276
2023-07-10 00:00:00+00:00,144.70335207968535,253.33167003370895
2023-07-11 00:00:00+00:00,144.65508366967228,253.31462585573303
2023-07-12 00:00:00+00:00,144.60746648196957,253.29803398646374
2023-07-13 00:00:00+00:00,144.56049350059482,253.28188822201938
2023-07-14 00:00:00+00:00,144.51415777455773,253.26618242596356
