Date,Forecast
2023-01-01,85.30733012174701
2023-01-02,90.58417124361029
2023-01-03,91.85476732782124
2023-01-04,93.75561081341948
2023-01-05,93.06095317148781
2023-01-06,94.31709174410437
2023-01-07,94.1539357600116
2023-01-08,93.93366933151276
2023-01-09,94.20844758685776
2023-01-10,94.33654859823967
2023-01-11,94.3553619973944
2023-01-12,94.46754371410105
2023-01-13,94.32125183292699
2023-01-14,94.46449771806567
2023-01-15,93.53616866498898
2023-01-16,94.49512414882095
2023-01-17,93.39701802525266
2023-01-18,94.48034340030257
2023-01-19,94.24316457906326
2023-01-20,93.99119119475098
2023-01-21,94.25238808675314
2023-01-22,94.37467165443799
2023-01-23,94.39099320867889
2023-01-24,94.50210756807228
2023-01-25,94.35535849486838
2023-01-26,94.49840854628809
2023-01-27,93.56999560975983
2023-01-28,94.52891516293856
2023-01-29,93.4307936488276
2023-01-30,94.51411243148961
2023-01-31,94.27693078646564
2023-02-01,94.02495619261292
2023-02-02,94.2861525665203
2023-02-03,94.40843591228433
2023-02-04,94.42475737146763
2023-02-05,94.53587169014403
2023-02-06,94.38912259949942
2023-02-07,94.53217264344855
2023-02-08,93.60375970372034
2023-02-09,94.56267925552841
2023-02-10,93.46455774083034
2023-02-11,94.54787652324086
2023-02-12,94.31069487810916
2023-02-13,94.0587202842103
2023-02-14,94.31991665809791
2023-02-15,94.44220000385347
2023-02-16,94.45852146303315
2023-02-17,94.569635781708
2023-02-18,94.42288669106273
2023-02-19,94.56593673501158
2023-02-20,93.63752379528324
2023-02-21,94.59644334709127
2023-02-22,93.49832183239317
2023-02-23,94.58164061480369
2023-02-24,94.34445896967199
2023-02-25,94.09248437577313
2023-02-26,94.35368074966074
2023-02-27,94.4759640954163
2023-02-28,94.49228555459598
2023-03-01,94.60339987327083
2023-03-02,94.45665078262556
2023-03-03,94.5997008265744
2023-03-04,93.67128788684609
2023-03-05,94.63020743865411
2023-03-06,93.53208592395602
2023-03-07,94.61540470636653
2023-03-08,94.37822306123483
2023-03-09,94.12624846733597
2023-03-10,94.38744484122358
2023-03-11,94.50972818697915
2023-03-12,94.52604964615882
2023-03-13,94.63716396483368
2023-03-14,94.4904148741884
2023-03-15,94.63346491813725
2023-03-16,93.70505197840893
2023-03-17,94.66397153021695
2023-03-18,93.56585001551886
2023-03-19,94.64916879792938
2023-03-20,94.41198715279768
2023-03-21,94.16001255889881
2023-03-22,94.42120893278643
2023-03-23,94.54349227854199
2023-03-24,94.55981373772167
2023-03-25,94.67092805639652
2023-03-26,94.52417896575125
2023-03-27,94.6672290097001
2023-03-28,93.73881606997178
2023-03-29,94.6977356217798
2023-03-30,93.5996141070817
2023-03-31,94.68293288949222
2023-04-01,94.44575124436052
2023-04-02,94.19377665046166
2023-04-03,94.45497302434927
2023-04-04,94.57725637010483
2023-04-05,94.59357782928451
2023-04-06,94.70469214795936
2023-04-07,94.55794305731409
2023-04-08,94.70099310126294
2023-04-09,93.77258016153462
2023-04-10,94.73149971334264
2023-04-11,93.63337819864455
2023-04-12,94.71669698105507
2023-04-13,94.47951533592337
2023-04-14,94.2275407420245
2023-04-15,94.48873711591212
2023-04-16,94.61102046166768
2023-04-17,94.62734192084736
2023-04-18,94.73845623952221
2023-04-19,94.59170714887694
2023-04-20,94.73475719282578
2023-04-21,93.80634425309746
2023-04-22,94.76526380490549
2023-04-23,93.6671422902074
2023-04-24,94.75046107261791
2023-04-25,94.51327942748621
2023-04-26,94.26130483358735
2023-04-27,94.52250120747496
2023-04-28,94.64478455323052
2023-04-29,94.6611060124102
2023-04-30,94.77222033108505
2023-05-01,94.62547124043978
2023-05-02,94.76852128438863
2023-05-03,93.84010834466031
2023-05-04,94.79902789646833
2023-05-05,93.70090638177024
2023-05-06,94.78422516418075
2023-05-07,94.54704351904905
2023-05-08,94.29506892515019
2023-05-09,94.5562652990378
2023-05-10,94.67854864479337
2023-05-11,94.69487010397305
2023-05-12,94.8059844226479
2023-05-13,94.65923533200262
2023-05-14,94.80228537595147
2023-05-15,93.87387243622315
2023-05-16,94.83279198803118
2023-05-17,93.73467047333308
2023-05-18,94.8179892557436
2023-05-19,94.5808076106119
2023-05-20,94.32883301671303
2023-05-21,94.59002939060065
2023-05-22,94.71231273635621
2023-05-23,94.72863419553589
2023-05-24,94.83974851421074
2023-05-25,94.69299942356547
2023-05-26,94.83604946751431
2023-05-27,93.907636527786
2023-05-28,94.86655607959402
2023-05-29,93.76843456489593
2023-05-30,94.85175334730644
2023-05-31,94.61457170217474
2023-06-01,94.36259710827588
2023-06-02,94.62379348216349
2023-06-03,94.74607682791905
2023-06-04,94.76239828709873
2023-06-05,94.87351260577358
2023-06-06,94.72676351512831
2023-06-07,94.86981355907716
2023-06-08,93.94140061934884
2023-06-09,94.90032017115686
2023-06-10,93.80219865645877
2023-06-11,94.88551743886929
2023-06-12,94.64833579373759
2023-06-13,94.39636119983872
2023-06-14,94.65755757372634
2023-06-15,94.7798409194819
2023-06-16,94.79616237866158
2023-06-17,94.90727669733643
2023-06-18,94.76052760669116
2023-06-19,94.90357765064
2023-06-20,93.97516471091168
2023-06-21,94.93408426271971
2023-06-22,93.83596274802161
2023-06-23,94.91928153043213
2023-06-24,94.68209988530043
2023-06-25,94.43012529140157
2023-06-26,94.69132166528918
2023-06-27,94.81360501104474
2023-06-28,94.82992647022442
2023-06-29,94.94104078889927
2023-06-30,94.794291698254
2023-07-01,94.93734174220285
2023-07-02,94.00892880247453
2023-07-03,94.96784835428255
2023-07-04,93.86972683958446
2023-07-05,94.95304562199497
